"","600639.SS.Open","600639.SS.High","600639.SS.Low","600639.SS.Close","600639.SS.Volume","600639.SS.Adjusted"
"2008-11-17",6.86364,7.45455,6.86364,7.37273,5753421,6.447012
"2008-11-18",7.22727,7.40909,6.72727,6.78182,6541173,5.930296
"2008-11-19",6.8,7.46364,6.8,7.45455,8022755,6.518558
"2008-11-20",7.61818,8.2,7.61818,8.2,13135987,7.17041
"2008-11-21",8.20909,9,7.89091,8.37273,18731856,7.321452
"2008-11-24",8.38182,8.38182,7.53636,7.53636,8130366,6.590096
"2008-11-25",7.64545,7.8,6.81818,7.11818,6178717,6.224422
"2008-11-26",7.09091,7.26364,6.96364,7.17273,3718076,6.272123
"2008-11-27",7.89091,7.89091,7.36364,7.4,9362392,6.470859
"2008-11-28",7.24545,7.24545,6.86364,7.06364,6268317,6.176732
"2008-12-01",7.02727,7.60909,6.87273,7.49091,5906277,6.550354
"2008-12-02",7.25455,7.58182,7.17273,7.4,4602736,6.470859
"2008-12-03",7.5,8.01818,7.39091,8.00909,8480229,7.003471
"2008-12-04",8.07273,8.32727,7.82727,7.87273,10448361,6.884232
"2008-12-05",7.83636,8.26364,7.83636,8.11818,5673096,7.098865
"2008-12-08",8.18182,8.54545,8.18182,8.39091,7109003,7.337349
"2008-12-09",8.43636,8.57273,8.09091,8.34545,7513444,7.297598
"2008-12-10",8.21818,8.54545,8.05455,8.5,6583060,7.432743
"2008-12-11",8.56364,8.7,8.1,8.23636,7946560,7.202204
"2008-12-12",8.18182,8.25455,7.81818,8.04545,5875034,7.035265
"2008-12-15",8.04545,8.04545,8.04545,8.04545,0,7.035265
"2008-12-16",8.07273,8.22727,7.82727,8.20909,3862606,7.178359
"2008-12-17",8.24545,8.38182,8.1,8.20909,3875081,7.178359
"2008-12-18",8.36364,8.43636,8.18182,8.3,3961659,7.257854
"2008-12-19",8.26364,8.43636,8.19091,8.3,3297284,7.257854
"2008-12-22",8.30909,8.43636,7.87273,7.92727,5276281,6.931924
"2008-12-23",8.08182,8.10909,7.63636,7.66364,4662098,6.701395
"2008-12-24",7.59091,7.73636,7.18182,7.29091,2368476,6.375465
"2008-12-25",7.36364,7.40909,7.26364,7.4,2863972,6.470859
"2008-12-26",7.39091,7.43636,7.26364,7.28182,1642829,6.367517
"2008-12-29",7.3,7.30909,7,7.18182,2157129,6.280072
"2008-12-30",7.18182,7.3,6.90909,7.01818,2376112,6.136979
"2008-12-31",7.12727,7.12727,6.95455,6.97273,1618375,6.097236
"2009-01-05",7.1,7.32727,7.09091,7.28182,1682655,6.367517
"2009-01-06",7.23636,7.59091,7.17273,7.50909,2498404,6.566251
"2009-01-07",7.50909,7.90909,7.44545,7.73636,4985806,6.764985
"2009-01-08",7.90909,8.50909,7.90909,8.09091,7720186,7.075018
"2009-01-09",8,8.70909,7.98182,8.69091,10238944,7.599681
"2009-01-12",8.7,9.31818,8.52727,8.75455,10200605,7.655331
"2009-01-13",8.72727,8.90909,8.31818,8.53636,5649746,7.464537
"2009-01-14",8.45455,9.27273,8.34545,9.20909,6469690,8.0528
"2009-01-15",9.01818,10.1273,8.95455,9.41818,10323548,8.235637
"2009-01-16",9.31818,9.95455,9.19091,9.59091,7591200,8.386678
"2009-01-19",9.6,9.89091,9.22727,9.31818,4852637,8.148193
"2009-01-20",9.29091,9.4,9.05455,9.36364,3547251,8.187943
"2009-01-21",9.14545,9.30909,9.1,9.15455,1608926,8.005107
"2009-01-22",9.25455,9.31818,8.92727,9.00909,2287501,7.877911
"2009-01-23",9,9.17273,8.90909,9,1696421,7.869964
"2009-02-02",9.03636,9.9,9,9.89091,5497477,8.64901
"2009-02-03",9.81818,10.4364,9.63636,10.1545,7940206,8.879503
"2009-02-04",9.9,10.7091,9.9,10.3818,7468216,9.078263
"2009-02-05",10.3909,10.3909,10,10.0909,4655892,8.823892
"2009-02-06",10.0636,10.4273,10.0636,10.2273,4856631,8.943163
"2009-02-09",10.7273,10.8182,10.0909,10.2727,12587088,8.982862
"2009-02-10",10.2727,10.6364,9.96364,10.4273,10178360,9.118052
"2009-02-11",10.2545,10.6364,10.0909,10.6182,17226138,9.284983
"2009-02-12",10.5182,10.9,10.4091,10.8091,11999055,9.451911
"2009-02-13",10.8,11.2727,10.5182,11.2545,20210630,9.841389
"2009-02-16",11.3636,11.5273,10.9818,11.3455,28143019,9.920963
"2009-02-17",11.3091,11.3091,10.2182,10.2727,18487812,8.982862
"2009-02-18",10.0909,10.3364,9.55455,9.72727,13341313,8.505918
"2009-02-19",9.85455,10.0818,9.66364,9.96364,7755889,8.712609
"2009-02-20",9.81818,10.2636,9.77273,10.2273,7758472,8.943163
"2009-02-23",10.2273,10.6,10.1636,10.5,8269119,9.181623
"2009-02-24",10.3455,10.6727,9.86364,9.87273,8359960,8.633113
"2009-02-25",9.86364,10.0546,9.36364,9.53636,6459137,8.338978
"2009-02-26",9.45455,9.68182,8.69091,8.80909,8913715,7.703023
"2009-02-27",8.72727,9.22727,8.70909,9.01818,7710285,7.88586
"2009-03-02",9.01818,9.17273,8.8,9.1,3276469,7.957408
"2009-03-03",8.81818,9.14545,8.73636,9.01818,5017446,7.88586
"2009-03-04",9.13636,9.54545,9.09091,9.5,5595144,8.307183
"2009-03-05",9.54545,9.70909,9.25455,9.47273,6466242,8.283338
"2009-03-06",9.32727,9.51818,9.2,9.29091,3433726,8.124345
"2009-03-09",9.25455,9.63636,9.15455,9.15455,4973241,8.005107
"2009-03-10",9.16364,9.36364,9.09091,9.35455,2567595,8.179996
"2009-03-11",9.52727,9.59091,9.27273,9.39091,3122704,8.21179
"2009-03-12",9.39091,9.59091,9.19091,9.52727,5245356,8.331029
"2009-03-13",9.58182,9.62727,9.27273,9.35455,4071615,8.179996
"2009-03-16",9.28182,9.88182,9.19091,9.75455,6782915,8.529773
"2009-03-17",9.64545,10.2727,9.60909,10.1273,10459986,8.85572
"2009-03-18",10.1273,10.2727,10,10.0364,7994344,8.776231
"2009-03-19",10.0546,10.7727,10.0546,10.3636,11611696,9.062349
"2009-03-20",10.3546,10.3636,10.0546,10.1636,6374674,8.887463
"2009-03-23",10.1636,10.5091,10.0546,10.3636,6803906,9.062349
